Successful: 4728
Failed: 2328
Sent to users:
687. User ID: 647253465, Status: Delivered
688. User ID: 647258690, Status: Not delivered
689. User ID: 647822074, Status: Delivered
690. User ID: 649137934, Status: Not delivered
691. User ID: 649868341, Status: Delivered
692. User ID: 652400465, Status: Delivered
693. User ID: 655465008, Status: Not delivered
694. User ID: 658420814, Status: Delivered
695. User ID: 658687661, Status: Delivered
696. User ID: 659075381, Status: Delivered
697. User ID: 660683567, Status: Delivered
698. User ID: 661094671, Status: Not delivered
699. User ID: 662508546, Status: Delivered
700. User ID: 665131853, Status: Delivered
701. User ID: 666564710, Status: Delivered
702. User ID: 666810222, Status: Delivered
703. User ID: 669474058, Status: Not delivered
704. User ID: 670802418, Status: Delivered
705. User ID: 671153752, Status: Not delivered
706. User ID: 671635266, Status: Delivered
707. User ID: 672292932, Status: Not delivered
708. User ID: 673064595, Status: Not delivered
709. User ID: 674048066, Status: Delivered
710. User ID: 675790650, Status: Delivered
711. User ID: 676054031, Status: Delivered
712. User ID: 676662736, Status: Delivered
